Time,IA,IB,IC,Grau_mecanico
0.000138,0.979759792,-10.25103009,9.271270296,0
0.000276,1.952158099,-10.62707947,8.674921368,2.5
0.000414,2.909888748,-10.92328164,8.013392893,5
0.000552,3.845755772,-11.13741108,7.291655304,7.5
0.00069,4.752727476,-11.2678589,6.515131421,10
0.000828,5.623989274,-11.31364498,5.689655702,12.5
0.000966,6.452994887,-11.2744253,4.82143041,15
0.001104,7.233515532,-11.15049454,3.916979009,17.5
0.001242,7.959686719,-10.94278387,2.983097148,20
0.00138,8.626052317,-10.65285392,2.026801605,22.5
0.001518,9.227605547,-10.28288311,1.055277566,25
0.001656,9.759826604,-9.835651238,0.075824634,27.5
0.001794,10.21871661,-9.314518601,-0.90419801,30
0.001932,10.60082767,-8.723400764,-1.877426907,32.5
0.00207,10.90328877,-8.066739126,-2.836549644,35
0.002208,11.12382735,-7.349467553,-3.774359793,37.5
0.002346,11.26078637,-6.576975311,-4.683811061,40
0.002484,11.3131368,-5.755066565,-5.55807023,42.5
0.002622,11.28048528,-4.889916778,-6.390568501,45
0.00276,11.16307715,-3.988026305,-7.175050848,47.5
0.002898,10.96179457,-3.056171554,-7.905623015,50
0.003036,10.67814988,-2.101354072,-8.576795805,52.5
0.003174,10.31427426,-1.130747939,-9.183526318,55
0.003312,9.872901713,-0.151645863,-9.72125585,57.5
0.00345,9.357348523,0.828595613,-10.18594414,60
0.003588,8.771488326,1.802611386,-10.57409971,62.5
0.003726,8.11972302,2.763083129,-10.88280615,65
0.003864,7.406949683,3.70279428,-11.10974396,67.5
0.004002,6.63852378,4.614684261,-11.25320804,70
0.00414,5.820218926,5.491901531,-11.31212046,72.5
0.004278,4.958183503,6.327855067,-11.28603857,75
0.004416,4.058894468,7.116263879,-11.17515835,77.5
0.004554,3.129108684,7.851204211,-10.9803129,80
0.004692,2.175812151,8.527154044,-10.7029662,82.5
0.00483,1.206167522,9.139034588,-10.34520211,85
0.004968,0.22746028,9.682248441,-9.909708721,87.5
0.005106,-0.752955998,10.15271413,-9.399758135,90
0.005244,-1.727714896,10.54689679,-8.819181895,92.5
0.005382,-2.689492504,10.8618347,-8.172342198,95
0.00552,-3.631062446,11.09516156,-7.464099111,97.5
0.005658,-4.54535018,11.24512424,-6.699774063,100
0.005796,-5.42548615,11.31059601,-5.885109856,102.5
0.005934,-6.264857401,11.29108492,-5.026227519,105
0.006072,-7.057157265,11.18673758,-4.129580317,107.5
0.00621,-7.796432751,10.99833801,-3.201905263,110
0.006348,-8.477129266,10.72730176,-2.250172499,112.5
0.006486,-9.094132355,10.37566528,-1.281532927,115
0.006624,-9.64280613,9.946070611,-0.30326448,117.5
0.006762,-10.1190281,9.441745534,0.677282563,120
0.0069,-10.51922013,8.866479329,1.652740802,122.5
0.007038,-10.84037537,8.224594294,2.615781073,125
0.007176,-11.08008078,7.52091327,3.559167514,127.5
0.007314,-11.23653534,6.760723409,4.475811934,130
0.007452,-11.30856351,5.949736442,5.35882707,132.5
0.00759,-11.2956241,5.094045769,6.201578333,135
0.007728,-11.19781434,4.200080675,6.997733662,137.5
0.007866,-11.01586911,3.27455802,7.741311094,140
0.008004,-10.75115549,2.324431774,8.426723715,142.5
0.008142,-10.40566241,1.356840769,9.048821637,145
0.00828,-9.981985747,0.379055059,9.602930688,147.5
0.008418,-9.483308833,-0.601578705,10.08488754,150
0.008556,-8.913378502,-1.57769247,10.49107097,152.5
0.008694,-8.276476961,-2.541952148,10.81842911,155
0.008832,-7.577389609,-3.487112713,11.06450232,157.5
0.00897,-6.82136908,-4.406072646,11.22744173,160
0.009108,-6.014095781,-5.291927285,11.30602307,162.5
0.009246,-5.161635208,-6.138020707,11.29965591,165
0.009384,-4.270392376,-6.937995738,11.20838811,167.5
0.009522,-3.347063692,-7.685841717,11.03290541,170
0.00966,-2.398586641,-8.375939658,10.7745263,172.5
0.009798,-1.432087665,-9.003104468,10.43519213,175
0.009936,-0.454828611,-9.562623907,10.01745252,177.5
0.010074,0.525847826,-10.05029399,9.524446165,180
0.010212,1.502573273,-10.46245058,8.959877309,182.5
0.01035,2.468009044,-10.79599691,8.327987871,185
0.010488,3.41490128,-11.04842687,7.63352559,187.5
0.010626,4.336135448,-11.2178438,6.881708352,190
0.010764,5.224789799,-11.30297478,6.078184981,192.5
0.010902,6.074187375,-11.30318017,5.228992799,195
0.01104,6.877946176,-11.21845844,4.340512262,197.5
0.011178,7.630027111,-11.04944613,3.419419022,200
0.011316,8.324779374,-10.79741314,2.47263377,202.5
0.011454,8.956982903,-10.46425314,1.507270235,205
0.011592,9.521887597,-10.05246933,0.530581733,207.5
0.01173,10.01524901,-9.565155684,-0.450093327,210
0.011868,10.43336024,-9.00597366,-1.427386583,212.5
0.012006,10.77307979,-8.379124707,-2.393955084,215
0.012144,11.03185515,-7.689318693,-3.342536458,217.5
0.012282,11.207742,-6.941738516,-4.266003481,220
0.01242,11.29941879,-6.142001165,-5.157417629,222.5
0.012558,11.30619672,-5.296115516,-6.010081206,225
0.012696,11.22802486,-4.410437182,-6.817587674,227.5
0.012834,11.06549054,-3.491620761,-7.573869783,230
0.012972,10.819815,-2.546569835,-8.273245162,232.5
0.01311,10.49284411,-1.582385102,-8.910459012,235
0.013248,10.08703461,-0.606311023,-9.480723587,237.5
0.013386,9.605435559,0.374318611,-9.97975417,240
0.013524,9.051665486,1.352135779,-10.40380127,242.5
0.013662,8.429885175,2.319793593,-10.74967877,245
0.0138,7.74476641,3.270021498,-11.01478791,247.5
0.013938,7.001456873,4.195679897,-11.19713677,250
0.014076,6.205541466,5.089813801,-11.29535527,252.5
0.014214,5.363000345,5.94570508,-11.30870543,255
0.014352,4.480163997,6.756922943,-11.23708694,257.5
0.01449,3.563665664,7.517372256,-11.08103792,260
