Corrente;Fluxo Direto;Fluxo Quadratura
0;0;0
2;0,147742487;0,012966688
4;0,302792725;0,026014444
6;0,458268227;0,039103736
8;0,612092177;0,052211048
10;0,756467189;0,065329012
12;0,887234278;0,078453189
14;1,009540898;0,091580864
16;1,114200677;0,104710558
18;1,186692273;0,117841133
20;1,235645009;0,130971554
22;1,273148573;0,144100862
24;1,3044814;0,157228096
26;1,331891854;0,170352185
28;1,356481647;0,183471801
30;1,378868428;0,196585185
32;1,399449754;0,2096894
34;1,418505637;0,22277853
36;1,436240365;0,235840557
38;1,452815262;0,248845463
40;1,468354955;0,261732682
42;1,482965167;0,274417973
44;1,496736134;0,286837819
46;1,509742342;0,298965996
48;1,522054605;0,310787135
50;1,533735684;0,322280637
52;1,544844559;0,33343257
54;1,555434095;0,344235349
56;1,565552392;0,354679954
58;1,575243155;0,364738921
60;1,584545708;0,37437038
62;1,593495238;0,383564833
64;1,602123012;0,392374942
