Posicao,Fluxo_Concatenado_estatorA,Fluxo_Concatenado_estatorB,Fluxo_Concatenado_estatorC,Corrente_estatorA,Corrente_estatorB,Corrente_estatorC
0,0.119659099,0.101299554,-0.154190163,5,0,0
5,0.16887961,0.07435998,-0.186484902,5,0,0
10,0.229275411,0.04861482,-0.238783338,5,0,0
15,0.26966586,-0.002016573,-0.230316985,5,0,0
20,0.331698327,-0.052743174,-0.2398309,5,0,0
25,0.345750627,-0.097883082,-0.188174816,5,0,0
30,0.380762804,-0.156565469,-0.156617994,5,0,0
35,0.345824314,-0.188469219,-0.097891249,5,0,0
40,0.331178917,-0.239778307,-0.052730125,5,0,0
45,0.26929167,-0.230449438,-0.001970501,5,0,0
50,0.228987431,-0.238579391,0.048628211,5,0,0
55,0.168694098,-0.186496038,0.0743675,5,0,0
60,0.119675235,-0.154279335,0.101337019,5,0,0
65,0.076316476,-0.095371713,0.072809696,5,0,0
70,0.033268436,-0.050429028,0.046315992,5,0,0
75,0.032547791,-0.002049505,-0.002102766,5,0,0
80,0.03325856,0.046275349,-0.050389322,5,0,0
85,0.076345669,0.072793893,-0.095346446,5,0,0
90,0.119661453,0.101301342,-0.154195628,5,0,0
95,0.168896884,0.07436384,-0.186520392,5,0,0
100,0.22927698,0.048615403,-0.23878581,5,0,0
105,0.269620513,-0.00201216,-0.23027312,5,0,0
110,0.331668277,-0.052735376,-0.23980161,5,0,0
115,0.345880949,-0.097827896,-0.188231918,5,0,0
120,0.380768268,-0.15655714,-0.156613686,5,0,0
125,0.34581228,-0.18846148,-0.097886015,5,0,0
130,0.331190105,-0.239796099,-0.052740413,5,0,0
135,0.269322068,-0.230468948,-0.001977515,5,0,0
140,0.228951014,-0.238538518,0.048619589,5,0,0
145,0.168713049,-0.186541427,0.074364446,5,0,0
150,0.11967723,-0.154283297,0.101339273,5,0,0
155,0.076317039,-0.095403666,0.072821421,5,0,0
160,0.033268537,-0.050426253,0.046313241,5,0,0
165,0.032546486,-0.002053401,-0.002099796,5,0,0
170,0.0332592,0.046276438,-0.050390446,5,0,0
175,0.07634623,0.072793486,-0.095347394,5,0,0
180,0.119662282,0.101302168,-0.154198913,5,0,0
185,0.168878475,0.074359145,-0.186480634,5,0,0
190,0.229265448,0.048613976,-0.238772323,5,0,0
195,0.269597605,-0.002019391,-0.23026792,5,0,0
200,0.331680297,-0.052735762,-0.239809914,5,0,0
205,0.345955247,-0.097875046,-0.188245111,5,0,0
210,0.380765124,-0.156566875,-0.156619504,5,0,0
215,0.345727892,-0.188460633,-0.097926846,5,0,0
220,0.331176171,-0.23977605,-0.052729751,5,0,0
225,0.26928643,-0.230435403,-0.001979059,5,0,0
230,0.228984781,-0.238578318,0.048629907,5,0,0
235,0.168676099,-0.186454049,0.074373608,5,0,0
240,0.11965953,-0.154259183,0.101323332,5,0,0
245,0.076308714,-0.095389048,0.072803203,5,0,0
250,0.033268863,-0.050428295,0.046315829,5,0,0
255,0.032548255,-0.002046743,-0.002104551,5,0,0
260,0.033258214,0.046277657,-0.050391867,5,0,0
265,0.076349634,0.072798898,-0.095361484,5,0,0
270,0.119662761,0.101302428,-0.154199643,5,0,0
275,0.168887233,0.074350826,-0.186515625,5,0,0
280,0.229256274,0.048610023,-0.238763423,5,0,0
285,0.269534772,-0.002018998,-0.230208384,5,0,0
290,0.331670751,-0.052735878,-0.239802781,5,0,0
295,0.34625011,-0.097886355,-0.188338788,5,0,0
300,0.380745718,-0.156551183,-0.156607884,5,0,0
305,0.345630335,-0.188407916,-0.097897894,5,0,0
310,0.331173856,-0.239782027,-0.052736255,5,0,0
315,0.269293991,-0.230446493,-0.00198517,5,0,0
320,0.228959077,-0.238549085,0.04862111,5,0,0
325,0.16870058,-0.186519797,0.074358374,5,0,0
330,0.119661406,-0.154258611,0.10132602,5,0,0
335,0.076299774,-0.09535336,0.072789416,5,0,0
340,0.03326877,-0.050427418,0.04631486,5,0,0
345,0.03254712,-0.002050565,-0.002101452,5,0,0
350,0.033258326,0.0462766,-0.050390443,5,0,0
355,0.076346229,0.07280359,-0.095377139,5,0,0
