Posicao,Indutância_Corrente_0.5A,Indutância_Corrente_1A,Indutância_Corrente_2A,Indutância_Corrente_4A,Indutância_Corrente_8A,Indutância_Corrente_16A,Indutância_Corrente_32A,Indutância_Corrente_64A,Indutância_Corrente_128A,,
0,0.022143942,0.022428738,0.02306144,0.023744937,0.024240415,0.024115286,0.018732692,0.011766239,0.007431531,,
5,0.031432984,0.031837941,0.03269642,0.033551331,0.034151377,0.0338944,0.025106112,0.01525898,0.009142307,,
10,0.042089937,0.042911279,0.044288364,0.045538562,0.046318216,0.04480336,0.03032695,0.018272306,0.010735782,,
15,0.04988082,0.05077215,0.052245281,0.053580096,0.054394665,0.052114887,0.03561178,0.020973929,0.012015739,,
20,0.060920493,0.062292967,0.064277582,0.065946354,0.066707494,0.060728269,0.040041716,0.023289305,0.013134694,,
25,0.064039755,0.06532324,0.067242544,0.068870414,0.069711697,0.064431528,0.042465209,0.024457241,0.013716779,,
30,0.070075811,0.071681108,0.073899549,0.075727634,0.076539816,0.06965092,0.043733146,0.025040435,0.013987686,,
35,0.063931626,0.065210115,0.06712608,0.068751996,0.069594278,0.064387452,0.042451254,0.024451271,0.013710664,,
40,0.060835858,0.062203332,0.064183503,0.065849572,0.066612497,0.060660931,0.040033603,0.023279645,0.013130652,,
45,0.049831728,0.050723026,0.052195542,0.053529976,0.054343675,0.052049656,0.035599046,0.020962335,0.012013507,,
50,0.042037192,0.042857194,0.044231857,0.045479918,0.046258318,0.044745624,0.030296055,0.018267598,0.010734032,,
55,0.031398089,0.031802932,0.032660915,0.033515353,0.034114869,0.033839155,0.025043448,0.015227125,0.009131634,,
60,0.022141379,0.022426189,0.023058957,0.023742437,0.024237892,0.024112187,0.018729427,0.011763809,0.007431042,,
65,0.014567317,0.014638005,0.014852687,0.015165616,0.015439084,0.015576758,0.013721818,0.009618978,0.006389959,,
70,0.006472933,0.006481469,0.006516577,0.006616286,0.006729448,0.006817719,0.006850069,0.006064244,0.004735881,,
75,0.00647106,0.006473133,0.006481484,0.006501685,0.006524438,0.006542456,0.006550832,0.006129461,0.00474088,,
80,0.006470908,0.006479418,0.006514434,0.006613985,0.006726994,0.006815176,0.006847616,0.006065035,0.004736463,,
85,0.014571148,0.014641733,0.014856436,0.015169447,0.015442998,0.01558213,0.013764018,0.009646066,0.006402822,,
90,0.022143879,0.022428677,0.02306134,0.023744819,0.024240282,0.024115208,0.018732727,0.011766149,0.007431572,,
95,0.031428708,0.031833485,0.032691737,0.033546392,0.034146268,0.033889872,0.025106554,0.01525996,0.009143159,,
100,0.042089717,0.042911146,0.044288182,0.045538323,0.046317919,0.044803463,0.030326554,0.018272075,0.010735493,,
105,0.049868659,0.050759043,0.052231219,0.053565387,0.054379877,0.052108235,0.035612504,0.020973286,0.012015154,,
110,0.060919901,0.06229228,0.064276843,0.065945617,0.06670665,0.060725372,0.040039724,0.023287554,0.013134651,,
115,0.064045652,0.065329398,0.067248776,0.068876674,0.069717936,0.064432049,0.042464667,0.024456487,0.013715393,,
120,0.070070629,0.071675432,0.073893509,0.075721394,0.076534079,0.069648586,0.043731532,0.025039431,0.013987659,,
125,0.06393607,0.065214925,0.067131191,0.068757306,0.069599633,0.064391946,0.042450145,0.024450122,0.013710212,,
130,0.060832084,0.06219929,0.064179258,0.065845218,0.066608285,0.060658889,0.040033769,0.023279711,0.013130721,,
135,0.049829345,0.05072051,0.052192814,0.053527109,0.054340739,0.05204697,0.035596044,0.020961397,0.012012946,,
140,0.042031994,0.042851517,0.04422576,0.045473542,0.046251891,0.044743026,0.030297624,0.018268225,0.010734355,,
145,0.031394925,0.031799572,0.032657294,0.033511539,0.034110975,0.033835978,0.025044474,0.015227267,0.009131898,,
150,0.022142351,0.022427216,0.023060061,0.023743631,0.024239125,0.024112553,0.018728916,0.011763386,0.0074309,,
155,0.014566624,0.014637223,0.014851728,0.015164473,0.015437824,0.015575475,0.013720819,0.009619136,0.00639129,,
160,0.006472636,0.006481169,0.00651627,0.006615973,0.006729127,0.006817393,0.006849747,0.006064249,0.004735846,,
165,0.006471077,0.006473158,0.006481538,0.006501783,0.006524579,0.006542612,0.006551005,0.006129392,0.004740511,,
170,0.006471166,0.006479678,0.0065147,0.006614261,0.006727282,0.00681547,0.006847903,0.006064894,0.00473664,,
175,0.014572723,0.014643354,0.014858192,0.015171355,0.015445015,0.015584179,0.013765366,0.009646377,0.006402682,,
180,0.022143767,0.022428588,0.023061308,0.023744814,0.024240284,0.024115339,0.018732809,0.011766219,0.007431585,,
