Corrente,Ld,Lq,Ld-Lq,Ld/Lq
1,0.071684639,0.006473704,0.065210935,11.07320342
2,0.073903449,0.006482067,0.067421381,11.40121574
3,0.075055006,0.006492811,0.068562196,11.55970991
4,0.075731825,0.006502297,0.069229528,11.64693344
5,0.076153108,0.006509901,0.069643206,11.69804332
6,0.076411819,0.006515983,0.069895836,11.72682975
7,0.076545567,0.006520943,0.070024624,11.73842036
8,0.076544021,0.006525078,0.070018943,11.73074399
9,0.076297811,0.006528586,0.069769225,11.68672902
10,0.075672655,0.006531595,0.06914106,11.58563215
11,0.074836497,0.006534196,0.068302301,11.4530528
12,0.073958212,0.00653646,0.067421752,11.31472013
13,0.073068316,0.006538441,0.066529875,11.17518929
14,0.072129203,0.006540187,0.065589016,11.02861511
15,0.071037386,0.006541733,0.064495653,10.85910805
16,0.069652127,0.006543108,0.063109019,10.64511333
17,0.067918199,0.006544334,0.061373865,10.37816803
18,0.065937056,0.006545429,0.059391627,10.07375658
19,0.063858837,0.006546406,0.057312431,9.754793036
20,0.061789503,0.006547278,0.055242226,9.437434214
21,0.059786187,0.006548053,0.053238134,9.130375987
22,0.05787488,0.00654874,0.05132614,8.837559661
23,0.056064587,0.006549344,0.049515243,8.560335667
24,0.05435582,0.006549872,0.047805948,8.298760747
25,0.052745104,0.006550326,0.046194778,8.052286975
26,0.051227137,0.006550709,0.044676428,7.820090319
27,0.049795837,0.006551023,0.043244814,7.601230603
28,0.048444978,0.006551268,0.04189371,7.394748554
29,0.047168515,0.006551442,0.040617073,7.199714753
30,0.045960799,0.006551543,0.039409255,7.015262772
31,0.04481659,0.006551565,0.038265025,6.840592813
32,0.043731099,0.006551497,0.037179603,6.674978318
