Posicao;Torque_Angulo_0°;Torque_Angulo_15°;Torque_Angulo_30°;Torque_Angulo_45°;Torque_Angulo_60°
0;0,065276309;5,086140021;4,678413662;0,140305789;-4,438001208
5;-0,532627401;19,55822272;18,44345893;-0,087749001;-18,9355012
10;-0,010414276;5,440553848;5,045566904;-0,001934887;-5,034378684
15;-0,040925698;19,69634289;18,11436005;-1,101353056;-19,98302173
20;0,026685566;5,377901017;4,784407848;-0,370656706;-5,416774846
25;0,491754101;19,75781885;16,99588646;-2,149044191;-20,3409302
30;0,032690682;4,847019261;4,210964528;-0,318203179;-4,757921114
35;-0,475144663;19,41510029;18,04854674;-0,540781048;-19,15381933
40;-0,005073434;5,418426019;5,01498919;0,00635245;-4,99064263
45;0,001261217;19,65174901;18,42742194;-0,443265333;-19,2313938
50;0,021024598;5,482353877;5,108552029;0,049315708;-5,017400446
55;0,554033921;19,67477409;17,12530069;-1,71450428;-19,79459135
60;0,011088592;5,121590343;4,81999758;0,331959501;-4,206411247
65;-0,411565713;19,60600678;18,88949343;0,7091577;-17,96329803
70;0,010347879;5,568626822;5,282250258;0,250087689;-4,84368679
75;0,112560695;20,0478801;19,05020778;0,164412716;-18,72192845
80;0,051562652;5,367317494;4,69726161;-0,433859739;-5,41789118
85;0,617292299;20,10238084;17,58021241;-1,520301888;-19,79599819
90;0,040297562;5,116610039;4,674489331;0,114804828;-4,46202471
95;-0,423904478;19,61647855;18,37906613;-0,192219728;-19,00227255
100;0,020361685;5,49038004;5,112190482;0,071805863;-4,978296366
105;0,063123849;19,7120171;17,98456348;-1,267367963;-20,08673964
110;0,058367564;5,43445208;4,848948375;-0,318424462;-5,371844542
115;0,606293687;19,89009797;17,05272849;-2,145008891;-20,33921489
120;0,06082436;4,866602485;4,22593947;-0,29208195;-4,724283718
125;-0,368182515;19,50685801;18,1120024;-0,476123569;-19,07568301
130;0,020193595;5,443367163;5,045271773;0,042851528;-4,946440627
135;0,114649141;19,69096576;18,26078574;-0,689602328;-19,4297713
140;0,051659677;5,454011841;5,013521966;-0,052813569;-5,093091064
145;0,667377948;19,86135762;17,35611864;-1,493545339;-19,61094321
150;0,039611715;5,159877037;4,839258322;0,337448624;-4,20217212
155;-0,308715221;19,6983783;18,90674709;0,697193736;-17,97707195
160;0,037915526;5,51728582;5,1208085;0,065218253;-4,99520732
165;0,223013883;20,0431404;18,83655958;-0,120257166;-18,94365148
170;0,080894839;5,412995331;4,752263112;-0,386722134;-5,377616117
175;0,730287782;20,25545375;17,74242761;-1,358787992;-19,65187802
