Posição;Torque_medio_Sim 1A;Torque_medio_Sim 8A;Torque_medio_Sim 16A;Torque_medio_Sim 32A;Torque_medio_Teo 1A;Torque_medio_Teo 8A;Torque_medio_Teo 16A;Torque_medio_Teo 32A
0;-0,000726442;-0,049753202;-0,203995865;-0,815091042;0;0;0;0
10;0,064945241;4,497844994;18,32890527;68,61034284;0,066912153;4,598091848;16,57754343;39,06728919
20;0,124125657;8,619601194;33,80349313;98,82477836;0,125753712;8,641585958;31,15559046;73,42248673
30;0,169440873;11,62194721;40,51694541;101,4174064;0,169427518;11,64277727;41,97581348;98,92184876
40;0,193998795;13,0308114;39,74127914;94,18517823;0,192665864;13,23967781;47,73313389;112,4897759
50;0,19411099;12,60743165;35,25904887;80,85608133;0,192665864;13,23967781;47,73313389;112,4897759
60;0,169542063;10,59295492;28,26055954;63,56841857;0,169427518;11,64277727;41,97581348;98,92184876
70;0,123261258;7,444845434;19,54342419;43,70494777;0,125753712;8,641585958;31,15559046;73,42248673
80;0,061008616;3,629239552;9,782435847;22,21005537;0,066912153;4,598091848;16,57754343;39,06728919
90;0;0;0;0;0;0;0;0
